file,original_resolution,output_256,output_512,status
131_hummingbird-5255827_1280.jpg,1280x828,./output\input_raster_256x256\131_hummingbird-5255827_1280_256.png,./output\input_raster_512x512\131_hummingbird-5255827_1280_512.png,success
132_chaffinch-1420407_1280.jpg,1280x853,./output\input_raster_256x256\132_chaffinch-1420407_1280_256.png,./output\input_raster_512x512\132_chaffinch-1420407_1280_512.png,success
141_swan-2077219_1280.jpg,1280x853,./output\input_raster_256x256\141_swan-2077219_1280_256.png,./output\input_raster_512x512\141_swan-2077219_1280_512.png,success
139_rooster-1867562_1280.jpg,1280x853,./output\input_raster_256x256\139_rooster-1867562_1280_256.png,./output\input_raster_512x512\139_rooster-1867562_1280_512.png,success
145_owl-1576572_1280.jpg,1280x853,./output\input_raster_256x256\145_owl-1576572_1280_256.png,./output\input_raster_512x512\145_owl-1576572_1280_512.png,success
143_spring-bird-2295434_1280.jpg,1280x853,./output\input_raster_256x256\143_spring-bird-2295434_1280_256.png,./output\input_raster_512x512\143_spring-bird-2295434_1280_512.png,success
142_barn-owl-2550068_1280.jpg,1280x720,./output\input_raster_256x256\142_barn-owl-2550068_1280_256.png,./output\input_raster_512x512\142_barn-owl-2550068_1280_512.png,success
148_robin-8446944_1280.jpg,1280x852,./output\input_raster_256x256\148_robin-8446944_1280_256.png,./output\input_raster_512x512\148_robin-8446944_1280_512.png,success
146_owl-1834152_1280.jpg,1280x853,./output\input_raster_256x256\146_owl-1834152_1280_256.png,./output\input_raster_512x512\146_owl-1834152_1280_512.png,success
140_birds-4551002_1280.jpg,1280x853,./output\input_raster_256x256\140_birds-4551002_1280_256.png,./output\input_raster_512x512\140_birds-4551002_1280_512.png,success
149_bird-9950_1280.jpg,1280x800,./output\input_raster_256x256\149_bird-9950_1280_256.png,./output\input_raster_512x512\149_bird-9950_1280_512.png,success
144_bird-1045954_1280.jpg,1280x852,./output\input_raster_256x256\144_bird-1045954_1280_256.png,./output\input_raster_512x512\144_bird-1045954_1280_512.png,success
152_kingfisher-3159334_1280.jpg,1280x853,./output\input_raster_256x256\152_kingfisher-3159334_1280_256.png,./output\input_raster_512x512\152_kingfisher-3159334_1280_512.png,success
157_peafowl-2363750_1280.jpg,1280x848,./output\input_raster_256x256\157_peafowl-2363750_1280_256.png,./output\input_raster_512x512\157_peafowl-2363750_1280_512.png,success
156_bald-eagle-2715461_1280.jpg,1280x960,./output\input_raster_256x256\156_bald-eagle-2715461_1280_256.png,./output\input_raster_512x512\156_bald-eagle-2715461_1280_512.png,success
150_grey-crowned-cranes-540657_1280.jpg,1280x856,./output\input_raster_256x256\150_grey-crowned-cranes-540657_1280_256.png,./output\input_raster_512x512\150_grey-crowned-cranes-540657_1280_512.png,success
159_peacock-3617474_1280.jpg,1280x843,./output\input_raster_256x256\159_peacock-3617474_1280_256.png,./output\input_raster_512x512\159_peacock-3617474_1280_512.png,success
154_peafowl-816981_1280.jpg,862x1280,./output\input_raster_256x256\154_peafowl-816981_1280_256.png,./output\input_raster_512x512\154_peafowl-816981_1280_512.png,success
161_red-kite-50498_1280.jpg,1280x649,./output\input_raster_256x256\161_red-kite-50498_1280_256.png,./output\input_raster_512x512\161_red-kite-50498_1280_512.png,success
158_bird-3183441_1280.jpg,1280x853,./output\input_raster_256x256\158_bird-3183441_1280_256.png,./output\input_raster_512x512\158_bird-3183441_1280_512.png,success
160_eagle-1072696_1280.jpg,1280x883,./output\input_raster_256x256\160_eagle-1072696_1280_256.png,./output\input_raster_512x512\160_eagle-1072696_1280_512.png,success
162_duckling-3524213_1280.jpg,1280x854,./output\input_raster_256x256\162_duckling-3524213_1280_256.png,./output\input_raster_512x512\162_duckling-3524213_1280_512.png,success
164_parrots-3427188_1280.jpg,1280x853,./output\input_raster_256x256\164_parrots-3427188_1280_256.png,./output\input_raster_512x512\164_parrots-3427188_1280_512.png,success
163_bird-4051412_1280.jpg,853x1280,./output\input_raster_256x256\163_bird-4051412_1280_256.png,./output\input_raster_512x512\163_bird-4051412_1280_512.png,success
165_bird-2823767_1280.jpg,1280x853,./output\input_raster_256x256\165_bird-2823767_1280_256.png,./output\input_raster_512x512\165_bird-2823767_1280_512.png,success
166_parrot-2756488_1280.jpg,1280x853,./output\input_raster_256x256\166_parrot-2756488_1280_256.png,./output\input_raster_512x512\166_parrot-2756488_1280_512.png,success
167_beach-1852945_1280.jpg,1280x852,./output\input_raster_256x256\167_beach-1852945_1280_256.png,./output\input_raster_512x512\167_beach-1852945_1280_512.png,success
172_swan-2107052_1280.jpg,1280x732,./output\input_raster_256x256\172_swan-2107052_1280_256.png,./output\input_raster_512x512\172_swan-2107052_1280_512.png,success
169_bird-2295431_1280.jpg,1280x853,./output\input_raster_256x256\169_bird-2295431_1280_256.png,./output\input_raster_512x512\169_bird-2295431_1280_512.png,success
170_flowers-1835619_1280.jpg,1280x852,./output\input_raster_256x256\170_flowers-1835619_1280_256.png,./output\input_raster_512x512\170_flowers-1835619_1280_512.png,success
168_hummingbird-2139279_1280.jpg,1280x844,./output\input_raster_256x256\168_hummingbird-2139279_1280_256.png,./output\input_raster_512x512\168_hummingbird-2139279_1280_512.png,success
171_jay-548381_1280.jpg,1280x853,./output\input_raster_256x256\171_jay-548381_1280_256.png,./output\input_raster_512x512\171_jay-548381_1280_512.png,success
181_peacock-feathers-3013486_1280.jpg,1280x854,./output\input_raster_256x256\181_peacock-feathers-3013486_1280_256.png,./output\input_raster_512x512\181_peacock-feathers-3013486_1280_512.png,success
173_swan-4013225_1280.jpg,1280x914,./output\input_raster_256x256\173_swan-4013225_1280_256.png,./output\input_raster_512x512\173_swan-4013225_1280_512.png,success
179_owl-3184032_1280.jpg,1280x938,./output\input_raster_256x256\179_owl-3184032_1280_256.png,./output\input_raster_512x512\179_owl-3184032_1280_512.png,success
176_eagle-1753002_1280.jpg,1280x854,./output\input_raster_256x256\176_eagle-1753002_1280_256.png,./output\input_raster_512x512\176_eagle-1753002_1280_512.png,success
180_owl-1845060_1280.jpg,1280x853,./output\input_raster_256x256\180_owl-1845060_1280_256.png,./output\input_raster_512x512\180_owl-1845060_1280_512.png,success
182_swan-122983_1280.jpg,1280x853,./output\input_raster_256x256\182_swan-122983_1280_256.png,./output\input_raster_512x512\182_swan-122983_1280_512.png,success
185_hummingbird-5111260_1280.jpg,1039x1280,./output\input_raster_256x256\185_hummingbird-5111260_1280_256.png,./output\input_raster_512x512\185_hummingbird-5111260_1280_512.png,success
186_gulls-370012_1280.jpg,1280x850,./output\input_raster_256x256\186_gulls-370012_1280_256.png,./output\input_raster_512x512\186_gulls-370012_1280_512.png,success
184_kingfisher-1850226_1280.jpg,1280x914,./output\input_raster_256x256\184_kingfisher-1850226_1280_256.png,./output\input_raster_512x512\184_kingfisher-1850226_1280_512.png,success
